 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 7.32500000e-02  7.32500000e-02  1.56734010e+00  0.00000000e+00  3.03051335e-02  5.77894249e-01  7.28086969e-03 -3.72066412e-14 
 7.37500000e-02  7.37500000e-02  1.55880025e+00  0.00000000e+00  3.02439498e-02  5.77614204e-01  7.22008966e-03 -3.71381194e-14 
 7.42500000e-02  7.42500000e-02  1.55030904e+00  0.00000000e+00  3.01831345e-02  5.77333983e-01  7.15966880e-03 -3.70699928e-14 
 7.47500000e-02  7.47500000e-02  1.54186618e+00  0.00000000e+00  3.01226661e-02  5.77053584e-01  7.09960506e-03 -3.70022379e-14 
 7.52500000e-02  7.52500000e-02  1.53347140e+00  0.00000000e+00  3.00625622e-02  5.76772994e-01  7.03989651e-03 -3.69348744e-14 
 7.57500000e-02  7.57500000e-02  1.52512442e+00  0.00000000e+00  3.00028012e-02  5.76492211e-01  6.98054115e-03 -3.68678785e-14 
 7.62500000e-02  7.62500000e-02  1.51682497e+00  0.00000000e+00  2.99434008e-02  5.76211222e-01  6.92153704e-03 -3.68012703e-14 
 7.67500000e-02  7.67500000e-02  1.50857278e+00  0.00000000e+00  2.98843392e-02  5.75930025e-01  6.86288222e-03 -3.67350255e-14 
 7.72500000e-02  7.72500000e-02  1.50036757e+00  0.00000000e+00  2.98256345e-02  5.75648606e-01  6.80457479e-03 -3.66691648e-14 
 7.77500000e-02  7.77500000e-02  1.49220909e+00  0.00000000e+00  2.97672646e-02  5.75366963e-01  6.74661277e-03 -3.66036636e-14 
 7.82500000e-02  7.82500000e-02  1.48409705e+00  0.00000000e+00  2.97092479e-02  5.75085083e-01  6.68899432e-03 -3.65385427e-14 
 7.87500000e-02  7.87500000e-02  1.47603120e+00  0.00000000e+00  2.96515619e-02  5.74802963e-01  6.63171749e-03 -3.64737774e-14 
 7.92500000e-02  7.92500000e-02  1.46801127e+00  0.00000000e+00  2.95942256e-02  5.74520590e-01  6.57478043e-03 -3.64093888e-14 
 7.97500000e-02  7.97500000e-02  1.46003700e+00  0.00000000e+00  2.95372160e-02  5.74237961e-01  6.51818123e-03 -3.63453517e-14 
